Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Days,Marital,Spent,Family_Size,col1,col2,col3,col4,clusters
0,37040,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,213,1,316,2,0.38900904,-0.695890016,1.384593169,0.827396273,2
1,65324,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,1028,1,544,3,-0.778027977,0.622064429,-1.461703989,-2.469411418,1
0,18589,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,390,2,75,1,1.129215686,-1.604701992,0.78419338,2.115750277,2
0,38360,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,509,1,131,3,1.306267309,-1.039509097,-0.128438679,-0.561897367,1
1,84618,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,684,1,1672,2,-3.849257736,-0.607325468,-1.068050661,1.13328602,0
1,10979,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,865,0,30,1,1.172007739,-2.314995386,0.371007508,-0.707874726,2
1,38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,667,3,318,2,-0.142392889,-1.992074293,-0.549266838,0.57750375,0
0,40548,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,276,3,120,3,1.034153159,0.243236421,-0.253497949,0.169992838,1
1,68657,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,409,1,1196,2,-1.653258624,-0.653418543,0.975640422,-0.60589258,3
1,49389,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,599,2,65,3,2.07075203,-0.22538252,-0.640225324,-0.039557584,1
2,23718,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,398,1,81,3,2.413612867,-0.458706628,0.886456996,1.05125758,2
0,42429,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1029,0,67,2,0.978102761,-1.104628651,-1.871679269,0.13443641,1
1,48948,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,360,0,902,1,-2.423231508,-0.575424661,2.962046352,-0.046223726,3
1,20559,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,695,1,53,3,2.681634209,-0.986057987,0.006976725,0.992085894,2
0,21994,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,351,3,22,3,1.862678737,-0.597770297,-0.189981666,-0.61605023,1
1,7500,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,399,1,31,3,2.575543345,-0.786919873,0.940612216,-0.419362713,2
0,79941,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,902,2,984,1,-2.534474241,-2.111726011,-1.687383208,0.389287546,0
2,7500,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,247,1,122,2,1.568397548,-0.721462435,3.775087735,-0.470545287,2
0,41728,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,502,3,55,3,2.543019211,-0.775706415,0.114384786,1.930905027,2
0,65486,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,1062,0,507,2,-1.398631985,-0.709257949,-2.080084805,-1.880445112,0
1,79143,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,305,1,1693,2,-4.007112534,-0.047814903,0.638129419,-0.593508834,3
0,35790,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,390,2,72,2,1.86713219,-1.069515755,0.709919699,0.919572388,2
0,82582,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,910,0,1617,1,-4.055839571,-1.837493107,0.402835409,-1.236767014,3
1,82384,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,316,3,1957,2,-4.652128986,-0.566341525,1.054181487,0.331318659,3
0,70287,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,393,0,1093,1,-3.125880581,-1.032747207,1.992430148,-0.891191505,3
0,27938,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,841,2,29,2,1.529968957,-2.304162894,-0.758495037,-0.602684723,1
1,75777,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,455,2,1438,1,-3.689079062,-1.477487173,1.53096659,-1.185289967,3
1,67680,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,668,0,606,2,-1.322627159,0.195814315,-0.255991637,-1.673466724,0
0,70666,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,521,3,1076,2,-1.686667762,-0.716464501,-0.012101924,0.175186745,0
0,25721,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,499,1,34,3,2.074618655,-1.293460888,1.635360618,0.187498697,2
0,32474,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,1032,3,11,4,2.959516967,-0.493411612,-1.576488677,-2.003997195,1
2,88194,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,801,2,1274,2,-3.969988754,0.956116459,0.891342718,-1.937237461,3
0,69096,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,628,3,653,3,-1.106635606,0.502055049,-1.219508501,-1.179241905,0
1,66991,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,306,1,1253,2,-2.273603267,-0.328359762,0.935078867,-0.697708911,3
0,28332,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,843,1,65,2,0.480176833,-2.284480264,-1.042232645,-0.099286365,1
0,40246,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,346,0,13,2,1.802765968,-1.578820441,0.641651782,0.833410509,2
1,75251,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,232,1,1890,2,-2.949392788,-0.216542464,2.647632896,-0.379940133,3
0,75825,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,337,2,2209,1,-4.206978705,-0.9863555,2.018438022,0.046475486,3
2,26326,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,457,3,18,2,1.406877022,-2.164658195,0.748093949,2.12981786,2
0,56046,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,390,3,692,2,-1.216082593,0.485138581,2.674427202,-0.658226602,3
0,29760,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,234,2,165,2,1.784759351,-0.022683118,1.135150973,2.148266442,2
0,26304,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,532,1,16,3,2.542442929,-1.366063012,0.612530163,-0.935365685,2
2,23559,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,424,1,79,3,2.451165082,-0.433146185,0.703101944,1.294712405,2
1,38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,667,3,318,2,-0.142392889,-1.992074293,-0.549266838,0.57750375,0
0,81361,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,779,0,778,1,-3.838404391,-1.560959441,-0.813880332,-1.177060201,0
0,29440,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,670,1,56,4,2.734692985,0.350505094,-1.31514435,0.684911422,1
0,50388,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,871,2,372,2,-0.144799782,0.643852663,1.081192333,-2.324322255,1
0,79593,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1062,1,1366,2,-2.707472848,-1.385960294,-1.806787579,-0.185034853,0
0,54178,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,744,3,194,3,0.094561218,-0.587232592,-2.300049988,0.46178344,1
1,42394,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,805,2,32,2,1.920173056,-1.950958269,-0.325350364,0.51468962,2
1,23626,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,867,1,43,3,2.080107841,-0.97534792,-0.689138372,0.445452665,1
0,30096,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,865,1,45,3,2.159228934,-1.550739166,-0.480766022,-0.888218272,1
0,51813,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,666,0,63,3,1.985966101,0.054999428,-0.530807158,-1.017399734,1
2,78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,370,1,978,2,-3.078408373,-0.578651021,0.063052281,0.194206249,0
1,50150,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,529,1,410,2,-0.488235871,-0.742887142,0.438659124,-0.190051798,0
2,47823,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,562,2,72,2,1.386909513,-0.444555071,0.497015137,-1.247105823,1
1,34554,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,812,2,55,2,1.379513648,-0.830104452,-0.75467854,-0.513436138,1
1,65846,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,495,1,1120,2,-1.594877661,-0.786041624,0.03248015,0.758687631,0
0,87195,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,940,1,1097,2,-3.426705173,-1.725725094,0.036849159,-1.765315295,3
2,24594,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,643,3,29,3,2.36773905,-1.667118652,-0.577693055,1.441040932,2
0,38557,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,346,2,145,2,1.522485478,-0.876534294,1.147440717,0.033398479,2
1,89058,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,186,1,850,2,-1.985709566,-0.860492389,0.636274097,-0.274252521,3
1,68126,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,277,2,1820,1,-2.241971619,-0.411455822,3.306677304,0.266220913,3
0,86037,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,390,2,730,1,-3.620735099,-0.70660263,1.114966452,1.20108811,3
0,50785,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,640,2,114,3,1.739127642,0.011732191,-0.738133627,-0.824341808,1
0,90765,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,747,1,1724,2,-3.082192947,-1.636417171,-0.998330325,-0.929811575,0
2,30753,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,669,3,81,4,2.554830909,-0.010003195,-1.40195918,0.631603572,1
0,21918,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,676,3,33,3,2.3917749,-1.10166598,-0.217511283,0.086351388,2
1,32557,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,778,2,80,2,1.354900859,-1.499700062,1.67365011,-1.739428633,2
1,19510,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,457,1,30,4,3.588024857,-0.496021657,0.326318987,0.493890616,2
0,30992,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,470,0,43,2,1.998840176,-1.581714312,0.441958794,1.122027245,2
0,101970,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,695,2,1135,1,-4.711691886,-1.138675653,0.315995187,-0.051811872,3
2,71488,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,407,3,559,2,-1.533017629,-1.110524446,-0.625404452,1.556120991,0
0,79607,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,469,2,1923,1,-3.609130119,-1.624097582,1.30231453,-0.511562462,3
1,54348,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,941,1,90,4,2.088660413,0.134538269,-1.682700698,-1.145741327,1
0,73448,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,998,1,725,2,-1.744560719,-0.9848832,-0.896330292,-1.584455811,0
1,62981,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,434,3,1482,2,-2.7438681,-0.611738672,-0.031841236,0.130268556,0
2,9548,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,213,0,29,2,2.682266183,-1.242666014,2.125107434,0.197602361,2
1,35860,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,862,2,49,3,1.909766333,-0.686339073,0.313281597,-1.789261561,1
1,36921,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,567,0,38,3,2.339316974,0.039045472,-0.348174199,0.119687613,1
1,92859,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,285,2,2077,1,-4.055874457,-0.680842436,0.229904873,0.79919192,3
1,65104,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,676,3,1053,3,-1.038077781,0.517964817,0.952264019,-1.925926219,3
0,86111,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,467,1,1385,2,-3.390731445,-0.537830484,-0.662305586,0.903287514,0
0,41883,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,436,3,312,3,1.485832056,-0.059785782,0.691471001,-0.129363652,2
0,23957,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,294,1,68,3,1.865199303,-1.018264605,2.188224519,-0.237326705,2
0,38547,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,598,3,22,3,2.666486519,-1.051701809,0.32001105,3.001942955,2
1,49605,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,895,1,127,2,0.210765896,-2.209020005,-1.067362468,-0.111466498,1
0,34176,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,1062,2,89,2,1.73589022,-1.114412497,-0.400422235,-1.349100031,1
0,69372,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,408,3,1381,2,-2.71585526,-0.082082952,2.016030812,-0.850533746,3
0,49967,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,577,2,306,2,0.259124196,0.62486856,0.162375406,-1.025353095,1
0,60199,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,701,2,18,4,2.082790378,0.596619794,-2.463175699,-1.030105048,1
0,55375,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,648,3,162,3,0.202184798,-0.645989504,-1.557871865,-1.388600925,1
0,80317,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,590,2,1231,1,-2.957558433,-1.564865536,-0.90485107,0.736650675,0
1,30523,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,365,2,13,4,3.58406653,0.173089704,0.231175002,-1.211694432,1
1,70356,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,124,1,1706,2,-2.95550166,0.907268278,1.731443612,0.328660306,3
0,23228,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,844,1,121,3,2.438748355,-0.270115909,-0.370323778,0.884472327,2
1,74165,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,363,0,1293,1,-2.954430712,-1.117202658,0.709017207,-0.737130468,3
0,62551,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,680,0,421,1,-1.858394734,-1.616836871,0.105379936,-0.707151109,0
0,52332,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,598,0,259,1,-0.6689567,-1.866228181,-0.027988215,0.40152985,0
0,66951,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,400,2,1117,1,-2.312970397,-1.651918087,-0.161444874,0.609261371,0
0,26091,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,779,3,89,4,2.498008632,0.427114817,-1.803235996,0.576515319,1
0,33456,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,834,3,36,4,2.838405457,0.112200824,-1.591490807,-0.148175502,1
0,28718,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,552,1,57,3,2.444925972,-0.735243529,0.180481043,0.999532109,2
0,50447,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,834,1,148,4,2.386429862,-0.772276364,-0.51643425,-1.773360657,1
1,53537,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,753,3,93,4,1.958921551,0.168390246,-1.316257139,-1.323748013,1
0,52074,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,817,2,119,2,0.464227491,-1.126923581,-1.650034579,0.280463488,1
1,83837,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,343,1,1318,2,-3.574167378,-0.067569684,1.880033867,0.540366374,3
1,38853,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,866,1,45,4,2.653347812,0.190412548,-1.546120321,0.112322755,1
0,38285,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,898,3,10,5,3.109539996,-0.262413613,-3.154152348,0.277697929,1
2,78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,370,1,978,2,-3.078408373,-0.578651021,0.063052281,0.194206249,0
1,51650,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,1032,1,191,3,0.64458087,-0.512988229,-1.995831782,-0.322788119,1
2,16248,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,1001,1,57,3,2.509878488,-1.274791375,-0.602324975,0.04777004,1
1,66835,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,629,1,1033,2,-2.698678002,-0.690723746,-0.383026161,-0.738250406,0
1,30477,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,745,1,66,3,2.132170792,-1.629151582,0.017473314,-1.116545506,2
2,28249,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,889,1,43,2,1.376855852,-2.193270435,-0.395583007,0.447259679,2
0,25271,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,125,1,50,3,2.606875184,-0.722817403,1.487124706,0.917102097,2
1,32303,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,938,2,39,2,1.307673142,-1.118106445,-1.399166944,-0.239562606,1
0,74068,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,436,1,1581,2,-3.509903002,-0.730657693,0.01432857,-0.506466688,3
1,45759,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,412,1,68,4,2.441591971,0.624203251,0.026717201,-1.175163291,1
2,24882,1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,245,3,80,3,2.37363914,-1.244059361,0.824727943,1.062492532,2
1,66973,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,495,3,1282,2,-3.216467189,-0.091655249,-0.631977062,2.056828501,0
0,38872,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,508,1,91,3,2.122985921,-0.487436054,0.120426127,1.43058235,2
0,31353,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,721,1,31,4,2.927377421,0.226313956,-0.644620137,-1.231560574,1
1,69661,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,856,1,834,2,-2.301903399,-0.741158628,-1.193073151,0.438101426,0
0,80067,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,620,1,1600,2,-2.732745357,-1.091260435,-0.935473582,0.872462316,0
0,86718,0,0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,375,1,1270,2,-2.650782796,-0.831702304,0.096929589,-0.399915643,0
0,69142,0,1,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,903,0,535,2,-0.936809062,0.670573104,-1.103737049,-0.9467735,0
0,75922,0,0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,613,2,1295,1,-2.898022028,-1.528306326,-0.808759561,0.61603639,0
1,102160,0,0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,34,3,1240,2,-4.1475448,0.041697404,2.084267135,0.781538496,3
1,40637,1,1,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,556,2,38,3,2.398508475,-0.06546799,-0.599106486,0.504074107,1
1,18890,0,0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,277,2,35,1,0.984007415,-2.38737254,3.115746431,-0.822105225,2
0,29604,1,0,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,582,3,53,3,2.648321381,-1.081704127,-0.153645506,1.698214853,2
0,44794,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,941,1,65,3,1.365021348,-0.648412238,-1.979032704,0.406792347,1
0,77972,0,0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,800,3,1101,2,-2.739440712,-1.301299004,-1.29029671,-0.719026215,0
0,70951,0,0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,453,1,1198,2,-2.380374225,-1.108022874,-0.703785225,0.691944039,0
2,52195,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,1062,2,17,4,3.429391387,-0.419326329,-1.168940157,-2.445554551,1
1,83790,0,0,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,677,1,1615,2,-3.555646709,-0.491662784,-0.568708781,0.790559331,0
1,44551,0,1,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0,601,0,285,2,0.539395097,-0.051791871,0.210508622,-1.035006743,1
2,45204,1,0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,0,1031,3,114,3,1.448742422,-2.050194301,-1.886398991,0.594797057,1
0,72460,0,0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0,676,1,1047,2,-2.196562781,-1.463406914,-1.068584956,0.029603897,0
1,30732,1,0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,0,479,1,185,3,2.021706034,0.188498927,0.969463936,0.186818587,2
0,42011,1,0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,0,443,3,189,3,1.871361637,0.223459386,0.523984324,0.750450926,2
1,79930,0,0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,0,213,1,1753,2,-2.819485179,-0.770512152,0.099100301,1.239642506,0
1,34320,1,0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,0,770,3,17,3,2.640377871,-1.499442746,-0.384676422,0.65523324,2
2,81975,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,479,0,1588,2,-1.468744147,0.299140054,0.720844798,-1.513085795,3
0,38590,1,0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,0,493,3,22,3,2.462407519,-1.122634869,0.037545487,1.141938087,2
0,15033,0,0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,0,829,2,19,1,0.962379021,-2.913901515,-0.432711779,-0.187889807,2
2,22212,1,0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0,613,1,69,3,2.315346984,-1.113643989,0.327275334,-0.057673345,2
