Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Days,Marital,Spent,Family_Size,col1,col2,col3,col4
0,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,1032,3,11,4,2.959516966649816,-0.4934116122252165,-1.576488677035614,-2.0039971945717325
2,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,801,2,1274,2,-3.9699887544477503,0.9561164594697377,0.8913427179272388,-1.937237460743357
0,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,628,3,653,3,-1.1066356062328229,0.5020550490034367,-1.2195085008855961,-1.1792419045115916
1,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,306,1,1253,2,-2.2736032667316333,-0.3283597618970231,0.9350788667665647,-0.6977089113652395
0,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,843,1,65,2,0.4801768334944028,-2.284480264144732,-1.0422326454006912,-0.09928636450210836
0,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,346,0,13,2,1.8027659681368096,-1.5788204412300488,0.6416517822985831,0.8334105090499231
1,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,232,1,1890,2,-2.9493927881796247,-0.21654246434296176,2.647632895824473,-0.3799401330612053
0,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,337,2,2209,1,-4.206978704976933,-0.9863555002482115,2.0184380217127407,0.04647548624726661
2,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,457,3,18,2,1.406877022458705,-2.1646581945117664,0.7480939491616743,2.129817860490096
0,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,390,3,692,2,-1.2160825932275225,0.48513858116043723,2.6744272024204587,-0.6582266023577206
0,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,234,2,165,2,1.7847593512847344,-0.022683117929429158,1.1351509727624787,2.148266442093933
0,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,532,1,16,3,2.542442929268546,-1.366063012146432,0.6125301631410743,-0.9353656854382406
2,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,424,1,79,3,2.451165082150531,-0.4331461848693083,0.7031019441098969,1.2947124049791825
1,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,667,3,318,2,-0.14239288895642255,-1.9920742931602593,-0.5492668384099539,0.5775037502010129
0,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,779,0,778,1,-3.8384043908924594,-1.5609594410472194,-0.8138803315469112,-1.17706020056984
0,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,670,1,56,4,2.73469298460235,0.350505094144627,-1.3151443504235225,0.6849114218011001
0,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,871,2,372,2,-0.14479978217518466,0.6438526628024115,1.081192333192555,-2.324322254813255
0,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1062,1,1366,2,-2.7074728480478876,-1.385960293950402,-1.8067875793689232,-0.18503485311668136
0,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,744,3,194,3,0.09456121803937366,-0.5872325923373329,-2.3000499881392384,0.46178344043176683
1,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,805,2,32,2,1.9201730564903752,-1.950958268832589,-0.32535036368834797,0.5146896204466529
1,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,867,1,43,3,2.08010784084859,-0.9753479200696992,-0.6891383717147116,0.44545266525444976
0,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,865,1,45,3,2.1592289338992763,-1.550739166409492,-0.48076602177184924,-0.8882182718669723
0,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,666,0,63,3,1.9859661013228185,0.05499942837767627,-0.5308071581785637,-1.017399734494348
2,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,370,1,978,2,-3.0784083726982905,-0.5786510214482686,0.06305228075005516,0.19420624894657368
1,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,529,1,410,2,-0.48823587085497067,-0.7428871424077612,0.43865912426371684,-0.19005179838164532
2,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,562,2,72,2,1.3869095126868196,-0.444555070606927,0.49701513672199255,-1.2471058230783332
1,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,812,2,55,2,1.3795136482052128,-0.8301044521660175,-0.7546785404969534,-0.5134361383312684
1,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,495,1,1120,2,-1.5948776605805168,-0.7860416244836673,0.03248014982981329,0.7586876307796975
0,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,940,1,1097,2,-3.426705173370235,-1.7257250942923164,0.036849159239605904,-1.7653152947011472
2,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,643,3,29,3,2.3677390498008806,-1.6671186522711579,-0.57769305531323,1.4410409322486966
0,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,346,2,145,2,1.5224854778897456,-0.8765342938648456,1.1474407167024363,0.033398479473824565
1,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,186,1,850,2,-1.9857095661313653,-0.8604923894104579,0.6362740972170003,-0.2742525208775504
1,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,277,2,1820,1,-2.241971618501236,-0.41145582200267444,3.306677303754981,0.2662209132471946
0,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,390,2,730,1,-3.6207350990961435,-0.7066026299191993,1.11496645181526,1.201088109714509
0,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,640,2,114,3,1.7391276419797828,0.011732190918525499,-0.7381336273585324,-0.8243418082731749
0,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,747,1,1724,2,-3.082192947405925,-1.636417171398285,-0.998330324646585,-0.9298115754059846
2,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,669,3,81,4,2.554830909018075,-0.01000319510912337,-1.4019591797366744,0.6316035723315304
0,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,676,3,33,3,2.3917749000363924,-1.1016659803785902,-0.21751128322908778,0.08635138779685976
1,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,778,2,80,2,1.3549008588225355,-1.4997000618682874,1.6736501102592996,-1.739428632849372
1,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,457,1,30,4,3.5880248571708018,-0.4960216568181767,0.3263189866823216,0.493890615942025
0,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,470,0,43,2,1.9988401762853385,-1.581714311763784,0.44195879399502197,1.1220272449945368
0,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,695,2,1135,1,-4.711691886249482,-1.138675652843536,0.3159951869363871,-0.05181187184191676
2,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,407,3,559,2,-1.5330176289716788,-1.1105244458892798,-0.6254044517500312,1.5561209905130928
0,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,469,2,1923,1,-3.609130118555315,-1.6240975815903909,1.3023145297195953,-0.511562462479976
1,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,941,1,90,4,2.0886604125139443,0.13453826931085838,-1.6827006984804949,-1.1457413267111356
0,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,998,1,725,2,-1.7445607192081056,-0.9848832000829804,-0.8963302922627454,-1.5844558114066047
1,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,434,3,1482,2,-2.7438680995167903,-0.6117386723435729,-0.03184123621178724,0.13026855625241474
2,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,213,0,29,2,2.682266182823145,-1.2426660141548183,2.125107434101192,0.19760236057661956
1,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,862,2,49,3,1.9097663325159768,-0.6863390730646189,0.31328159724124305,-1.7892615612957268
1,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,567,0,38,3,2.339316974318528,0.039045472430705476,-0.34817419871001665,0.11968761259177627
1,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,285,2,2077,1,-4.055874457094193,-0.6808424359201244,0.22990487341351717,0.7991919197292475
1,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,676,3,1053,3,-1.0380777812157618,0.5179648169645654,0.9522640189765939,-1.925926218768722
0,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,467,1,1385,2,-3.3907314445378263,-0.5378304843903399,-0.6623055855095905,0.9032875138784442
0,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,436,3,312,3,1.4858320561434128,-0.059785782433946284,0.6914710014430536,-0.1293636522799504
0,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,294,1,68,3,1.8651993028698468,-1.0182646053425175,2.188224519384342,-0.2373267050246813
0,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,598,3,22,3,2.666486518902055,-1.0517018093187656,0.3200110498309919,3.00194295508484
1,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,895,1,127,2,0.21076589644719546,-2.209020005127958,-1.0673624678358817,-0.11146649838752537
0,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,1062,2,89,2,1.7358902195851693,-1.114412497184787,-0.400422234886813,-1.3491000305297995
0,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,408,3,1381,2,-2.7158552601895467,-0.0820829518738013,2.016030811535201,-0.8505337459153262
0,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,577,2,306,2,0.2591241963713775,0.6248685604772214,0.16237540642477866,-1.025353094815745
0,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,701,2,18,4,2.082790377556327,0.5966197942738524,-2.46317569871174,-1.0301050484852237
0,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,648,3,162,3,0.20218479818250498,-0.6459895038854047,-1.5578718650351844,-1.3886009246580786
0,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,590,2,1231,1,-2.957558432990372,-1.564865536187589,-0.9048510696870744,0.7366506752240274
1,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,365,2,13,4,3.5840665304430304,0.17308970357429992,0.23117500177077235,-1.2116944320265033
1,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,124,1,1706,2,-2.9555016603951723,0.9072682776826538,1.7314436121918295,0.32866030632481236
0,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,844,1,121,3,2.4387483547940714,-0.2701159088840607,-0.3703237775596934,0.8844723272067727
1,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,363,0,1293,1,-2.9544307119762343,-1.1172026576104683,0.7090172072138192,-0.737130467978746
0,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,680,0,421,1,-1.8583947336655933,-1.61683687145713,0.1053799363971232,-0.7071511088798844
0,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,598,0,259,1,-0.6689567002273916,-1.8662281806860033,-0.027988214936634344,0.40152984995888497
0,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,400,2,1117,1,-2.3129703967877835,-1.6519180871742827,-0.1614448737089346,0.6092613705302424
0,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,779,3,89,4,2.4980086318616572,0.4271148168829116,-1.8032359963612403,0.5765153194843822
0,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,834,3,36,4,2.838405457000305,0.11220082440397217,-1.5914908065711335,-0.14817550182458347
0,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,552,1,57,3,2.4449259722539187,-0.7352435285154817,0.18048104339752882,0.9995321094462293
0,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,834,1,148,4,2.386429861880994,-0.7722763643221684,-0.5164342501522783,-1.7733606573764433
1,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,753,3,93,4,1.9589215505538546,0.16839024564078253,-1.3162571388642257,-1.3237480134681001
0,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,817,2,119,2,0.46422749065434094,-1.1269235812946583,-1.6500345786770385,0.28046348845946506
1,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,343,1,1318,2,-3.5741673783064702,-0.06756968358174573,1.8800338673173007,0.5403663735350894
1,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,866,1,45,4,2.653347812120299,0.19041254789008855,-1.546120321349899,0.11232275470004428
0,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,898,3,10,5,3.1095399962738735,-0.2624136129980545,-3.1541523484992458,0.2776979293533103
2,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,370,1,978,2,-3.0784083726982905,-0.5786510214482686,0.06305228075005516,0.19420624894657368
1,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,1032,1,191,3,0.6445808700949022,-0.5129882294674916,-1.9958317818336222,-0.3227881194578545
2,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,1001,1,57,3,2.509878488486529,-1.274791374706646,-0.6023249746803409,0.04777003994042553
1,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,629,1,1033,2,-2.6986780019890144,-0.6907237459567033,-0.38302616064816075,-0.7382504057539768
1,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,745,1,66,3,2.13217079218733,-1.6291515824689595,0.01747331364728122,-1.1165455059220242
2,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,889,1,43,2,1.3768558519729894,-2.1932704348499352,-0.39558300748056335,0.4472596787018345
0,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,125,1,50,3,2.606875184414433,-0.7228174029381984,1.4871247056222687,0.917102097250073
1,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,938,2,39,2,1.3076731416993963,-1.1181064454891028,-1.3991669439359493,-0.23956260567102589
0,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,436,1,1581,2,-3.5099030016349504,-0.7306576925365005,0.01432856990752208,-0.5064666875050313
1,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,412,1,68,4,2.441591970728781,0.6242032507392083,0.02671720142890573,-1.1751632905067604
2,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,245,3,80,3,2.373639140275626,-1.2440593605233896,0.8247279426561256,1.0624925322707983
1,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,495,3,1282,2,-3.216467188732893,-0.09165524884722213,-0.6319770624321761,2.056828501032516
0,38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,508,1,91,3,2.1229859214521563,-0.4874360537865807,0.1204261266120235,1.4305823497036776
0,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,721,1,31,4,2.9273774209202266,0.22631395573373922,-0.6446201371336614,-1.2315605735758994
1,69661.0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,856,1,834,2,-2.3019033990611035,-0.7411586284611179,-1.1930731512957118,0.438101425512776
0,80067.0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,620,1,1600,2,-2.7327453566464572,-1.0912604346425685,-0.9354735816224968,0.8724623162411523
0,86718.0,0,0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,375,1,1270,2,-2.650782796289767,-0.831702304453533,0.09692958887430769,-0.3999156432935807
0,69142.0,0,1,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,903,0,535,2,-0.9368090619975677,0.6705731043610982,-1.1037370494338197,-0.9467734998710811
0,75922.0,0,0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,613,2,1295,1,-2.898022028411241,-1.5283063255606308,-0.8087595605235652,0.616036389756589
1,102160.0,0,0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,34,3,1240,2,-4.147544799578249,0.041697403871357196,2.0842671352825715,0.7815384962524151
